symbol,name,industry,sector,market_cap,exchange
POLSON,Polson Limited,Unknown,Unknown,1782000000,BSE
SAGRSOY-B,Unknown,Unknown,Unknown,0,BSE
WIPRO,Wipro Limited,Information Technology Services,Technology,2856453931008,BSE
ORIBEVER,Orient Beverages Limited,Unknown,Unknown,714699968,BSE
DHANUKA,Dhanuka Agritech Limited,Agricultural Inputs,Basic Materials,70858579968,BSE
TTKHLTCARE,Unknown,Drug Manufacturers—General,Healthcare,23420973056,BSE
TGVSL,TGV SRAAC Limited,Unknown,Unknown,10177833984,BSE
LIMECHM,Lime Chemicals Limited,Unknown,Unknown,208151360,BSE
KANPRPLA,Kanpur Plastipack Limited,Packaging & Containers,Consumer Cyclical,2607142912,BSE
TAINWALCHM,Tainwala Chemicals and Plastics (India) Limited,Specialty Chemicals,Basic Materials,2079245184,BSE
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Drug Manufacturers—Specialty & Generic,Healthcare,11383080960,BSE
KHAICHEM,Khaitan Chemicals and Fertilizers Limited,Agricultural Inputs,Basic Materials,7908499456,BSE
UNTTEMI,Unknown,Unknown,Unknown,0,BSE
NOL,National Oxygen Limited,Unknown,Unknown,639422208,BSE
GILLETTE,Gillette India Limited,Household & Personal Products,Consumer Defensive,277378269184,BSE
WIREFABR,Wires and Fabriks (S.A.) Limited,Unknown,Unknown,739918144,BSE
ANSALHSG,Ansal Housing Limited,Unknown,Unknown,1250071040,BSE
COMPUPN,Computer Point Limited,Unknown,Unknown,0,BSE
MCCHRLS-B,Mac Charles (India) Limited,Unknown,Unknown,7617634816,BSE
ADDIND,Addi Industries Limited,Unknown,Unknown,500098496,BSE
PIONRINV,Pioneer Investcorp Limited,Unknown,Unknown,783312512,BSE
ASHNOOR,Ashnoor Textile Mills Limited,Unknown,Unknown,624034368,BSE
UNITECH,Unitech Limited,Real Estate—Diversified,Real Estate,30113613824,BSE
VIPIND,V.I.P. Industries Limited,Footwear & Accessories,Consumer Cyclical,76849315840,BSE
FIBERWEB,Fiberweb (India) Limited,Textile Manufacturing,Consumer Cyclical,1254742400,BSE
LKPFIN,LKP Finance Limited,Unknown,Unknown,2661401088,BSE
EASTBUILD,East Buildtech Limited,Unknown,Unknown,0,BSE
MNPLFIN,Unknown,Unknown,Unknown,0,BSE
BAJAJST,Bajaj Steel Industries Limited,Unknown,Unknown,17421819904,BSE
KIDUJA,Kiduja India Limited,Unknown,Unknown,738650496,BSE
KEYCORP,Key Corp Limited,Unknown,Unknown,1787700096,BSE
SHIKHARLETR,Unknown,Unknown,Unknown,0,BSE
GUJHOTE,Gujarat Hotels Limited,Unknown,Unknown,866773952,BSE
RASRESOR,Ras Resorts and Apart Hotels Limited,Unknown,Unknown,218335696,BSE
PARMCOS-B,Paramount Cosmetics (India) Limited,Unknown,Unknown,250566560,BSE
JINDHOT,Jindal Hotels Limited,Unknown,Unknown,582300032,BSE
JPTRLES,Unknown,Unknown,Unknown,0,BSE
SIMMOND,Simmonds Marshall Limited,Unknown,Unknown,1379840000,BSE
BNALTD,B & A Limited,Unknown,Unknown,1825900032,BSE
HAWKINCOOK,Hawkins Cookers Limited,Unknown,Unknown,46142574592,BSE
WARRENTEA,Warren Tea Limited,Unknown,Unknown,856991872,BSE
COCHMAL,The Cochin Malabar Estates And Industries Limited,Unknown,Unknown,363595936,BSE
BESTEAST,Best Eastern Hotels Limited,Unknown,Unknown,304984992,BSE
NEAGI,Neelamalai Agro Industries Limited,Unknown,Unknown,3042647552,BSE
ISTLTD,IST Limited,Unknown,Unknown,12069427200,BSE
COSMOFIRST,Cosmo First Limited,Packaging & Containers,Consumer Cyclical,20206977024,BSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical Care Facilities,Healthcare,1028810407936,BSE
NITINCAST,Nitin Castings Limited,Unknown,Unknown,3358897408,BSE
SMIFS,SMIFS Capital Markets Limited,Unknown,Unknown,520298624,BSE
EVERESTIND,Everest Industries Limited,Building Products & Equipment,Industrials,16511228928,BSE
IRONWOOD,Unknown,Unknown,Unknown,0,BSE
MSRINDIA,MSR India Limited,Unknown,Unknown,527563232,BSE
AYMSYNTEX,AYM Syntex Limited,Textile Manufacturing,Consumer Cyclical,11597175808,BSE
PANCARBON,Panasonic Carbon India Co. Limited,Unknown,Unknown,3299520000,BSE
FINKURVE,Finkurve Financial Services Limited,Unknown,Unknown,12014721024,BSE
HBLEAS,HB Leasing and Finance Company Limited,Unknown,Unknown,200013616,BSE
SHRICON,Shricon Industries Limited,Unknown,Unknown,0,BSE
TRUSTWAVE,Unknown,Unknown,Unknown,0,BSE
SULABEN,Sulabh Engineers & Services Limited,Unknown,Unknown,582755008,BSE
FRONTCAP,Unknown,Unknown,Unknown,0,BSE
NAVNETEDUL,Navneet Education Limited,Publishing,Communication Services,32617854976,BSE
KEDIACN,Unknown,Unknown,Unknown,0,BSE
TRANOCE,Unknown,Unknown,Unknown,0,BSE
AUSOMENT,AuSom Enterprise Limited,Capital Markets,Financial Services,1556496256,BSE
THAKRAL,Thakral Services (India) Limited,Unknown,Unknown,0,BSE
RUCHINFRA,Ruchi Infrastructure Limited,Specialty Business Services,Industrials,3339753472,BSE
